RA,ANO,FASE,TURMA,IDADE,GENERO,ANO_INGRESSO,ANOS_NA_PM,INSTITUICAO,INSTITUICAO_GRUPO,PEDRA,INDE,IAN,IDA,IEG,IAA,IPS,IPP,IPV,MAT,POR,ING,FASE_IDEAL,DEFASAGEM,CLASSE_DEFASAGEM,EM_DEFASAGEM,PONTO_VIRADA,N_AVALIACOES,SEM_AVALIACAO,IAA_ZERADO,DEFASAGEM_T1,IAN_T1,INDE_T1,IDA_T1,IEG_T1,PEDRA_T1,FASE_T1,DEFASADO_T1,PIOROU_DEFASAGEM,RISCO_DEFASAGEM,QUEDA_INDE
RA-1198,2023,5.0,5B,16.0,Feminino,2023,0,Pública,Pública,Ametista,7.515233333,5.0,6.7,9.4,8.3,6.26,7.5,7.9625,7.3,3.7,9.0,6.0,-1,Moderada,1,,4.0,False,0,-1,5.0,6.9217748918,3.5,9.458874459,Ágata,5.0,1,0,1,1.0
RA-127,2023,5.0,5B,15.0,Feminino,2022,1,Pública,Pública,Ametista,7.91935,10.0,6.4,7.8,8.8,6.26,8.4375,8.6725,4.7,6.3,8.2,5.0,0,Em fase,0,,4.0,False,0,0,10.0,8.5605939394,7.833333333333333,9.488636363666666,Topázio,5.0,0,0,0,0.0
RA-146,2023,5.0,5C,16.0,Feminino,2022,1,Pública,Pública,Ametista,7.584483333,5.0,7.9,9.5,6.2,5.0,8.4375,8.2125,7.8,5.8,10.0,6.0,-1,Moderada,1,,4.0,False,0,-2,5.0,8.134554885333333,9.333333333333334,9.514316093333333,Topázio,5.0,1,1,1,0.0
RA-1199,2023,5.0,5C,17.0,Masculino,2023,0,Pública,Pública,Ametista,7.024933333,5.0,6.2,9.1,6.7,5.0,6.875,8.0875,6.8,5.0,6.7,7.0,-2,Moderada,1,,4.0,False,0,-2,5.0,7.614235714266666,9.0,8.571428571333334,Ametista,5.0,1,0,1,0.0
RA-107,2023,5.0,5C,15.0,Feminino,2018,5,Pública,Pública,Ágata,6.845208333,10.0,7.0,8.5,,5.0,7.34375,7.5875,6.0,5.2,9.7,5.0,0,Em fase,0,,4.0,False,1,-1,5.0,6.676130827066667,4.666666666666667,7.9949874686666655,Ágata,5.0,1,1,1,1.0
RA-1200,2023,5.0,5C,15.0,Feminino,2023,0,Pública,Pública,Quartzo,5.711166667,10.0,4.0,6.4,,5.0,7.5,6.8725,4.3,2.3,5.5,5.0,0,Em fase,0,,4.0,False,1,-1,5.0,5.6415838956,1.5,7.099419478000001,Quartzo,5.0,1,1,1,1.0
RA-85,2023,5.0,5C,16.0,Masculino,2022,1,Pública,Pública,Ametista,7.08435,5.0,5.7,8.9,8.8,6.27,5.9375,7.8425,5.8,3.8,7.5,6.0,-1,Moderada,1,,4.0,False,0,-2,5.0,6.999509385733333,7.666666666666667,8.668046928999999,Ágata,5.0,1,1,1,1.0
RA-1201,2023,5.0,5C,15.0,Masculino,2023,0,Pública,Pública,Topázio,8.378008333,10.0,7.8,9.6,9.2,3.77,8.59375,8.7575,8.3,6.5,8.5,5.0,0,Em fase,0,,4.0,False,0,-1,5.0,8.376195238033333,9.0,9.523809523666666,Topázio,5.0,1,1,1,1.0
RA-131,2023,5.0,5F,16.0,Feminino,2016,7,Pública,Pública,Quartzo,5.952358333,5.0,2.2,7.8,8.3,5.0,7.65625,6.8,0.0,3.0,3.5,6.0,-1,Moderada,1,,4.0,False,0,-2,5.0,7.263155555633333,5.0,9.444444444666667,Ametista,5.0,1,1,1,0.0
RA-132,2023,5.0,5F,15.0,Feminino,2019,4,Privada - Programa de Apadrinhamento,Privada/Bolsa,Ametista,7.350625,10.0,6.5,8.7,7.5,2.52,7.65625,7.715,6.3,6.5,6.7,5.0,0,Em fase,0,,4.0,False,0,0,10.0,8.4746321428,8.333333333333334,8.380952380666665,Topázio,6.0,0,0,0,0.0
